"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",-0.909420211175419,0.608200529986561,-1.49526375979237,0.137307018866503
"SEED",0.271141926446984,0.137479321337383,1.97223788864642,0.0507383200720016
"LA",-0.63743628286081,0.255238377281054,-2.4974155127107,0.0137789873516583
"HEIGHT",1.0537739168967,0.542539544372272,1.94229882010893,0.054297150865375
