"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",-0.309651834088869,0.125921087286539,-2.45909434838537,0.0152643273628999
"Comp.1",-0.144980107066283,0.0974880570509414,-1.48715762168206,0.139432422187062
"Comp.2",-0.563858364287511,0.232052050630784,-2.42987882569787,0.0164908626830954
"Comp.1:Comp.2",0.362105308616632,0.220917864149881,1.63909473781153,0.103649154847681
