"name","abund1976","abund1996","abund2006","ab_d","ab_d_s","LA_d","LA_ind","LA_ind_s","SLA_d","SLA_ind","SLA_ind_s","LS_d","LS_ind","LS_ind_s","SEED_d","SEED_ind","SEED_ind_s","HEIGHT_d","HEIGHT_ind","HEIGHT_ind_s","DENSITY_d","DENSITY_ind","DENSITY_ind_s","Comp.1_d","Comp.1_ind","Comp.1_ind_s","Comp.2_d","Comp.2_ind","Comp.2_ind_s"
"acacol",259,193,121,-0.0129867644793018,-1.83958986109321,-0.0625721899318181,0.000812610293598661,0.211133906127982,-0.133773029659091,-0.00173727882986527,1.17347223926366,-0.206978756060606,0.00268798435717795,2.0447606395789,-0.278018201886364,0.00361055690885718,0.544289466654029,-0.452052081651515,0.00587069391678633,3.16331293323053,0.0680073702651515,-0.000883195700490195,-0.968815033211557,-0.389121673901515,0.00505343153275065,0.552693541445568,0.858096939378788,-0.011143902852122,-2.89493703440762
"acafar",1,1,1,2.55962942530107e-05,0.00362574399993497,-1.05707503193182,-2.70572035648375e-05,-0.0070300525633823,-0.0666696316590909,1.70649550968593e-06,-0.00115267916273396,-0.295962889060606,-7.57555319636642e-06,-0.00576275414609517,-0.278018201886364,-7.11623570317629e-06,-0.00107276861526943,-0.247932098651515,-6.34614295185065e-06,-0.00341949969803709,0.126620181265152,3.24100741803237e-06,0.00355519926964907,-2.52449467590151,-6.4617708564534e-05,-0.00706723539344965,0.0923673943787879,2.36426300590334e-06,0.000614182717284382
"adetri",3,6,8,0.000787520936774668,0.111553230444601,-0.461231301931818,-0.000363229306967145,-0.0943749088637678,0.0926567963409091,-7.29691670529323e-05,0.0492881685926316,0.105491744939394,8.30769577966659e-05,0.0631969798875336,0.433295366113636,0.000341229172621934,0.0514401099502333,0.0250691733484849,1.97424988795654e-05,0.0106378739762684,0.0470044232651515,3.70169674423251e-05,0.0406054904050402,-1.01263334390152,-0.000797469959598586,-0.0872192476162997,-0.182127684621212,-0.000143429364805498,-0.0372597451276177
"agomac",20,22,11,-0.000767391812167932,-0.108701917201933,-0.523466418931818,0.000401703843833146,0.104371434035766,-0.180916445659091,-0.000138833799085311,0.0937774675529526,0.196623459939394,-0.00015088723323762,-0.114780532377489,1.42186590411364,-0.00109112825281756,-0.164486983523323,-0.372870835651515,0.000286138026275187,0.154180090468904,0.126076973265152,-9.67504369865925e-05,-0.106129680851451,-1.39107950190152,0.00106750301983387,0.116752749238233,0.412573986378788,-0.000316605899060565,-0.0822471404017869
"albadi",70,57,17,-0.005742019174855,-0.81336350351939,-0.180229408931818,0.00103488072195928,0.268884619017297,-0.295665651659091,-0.0016977178411725,1.14675014883654,0.124920041939394,-0.00071729327613969,-0.545647914270186,-0.0804309708863638,0.000461836177081705,0.0696215494869188,-0.151022085651515,0.000867171711637594,0.467259157032747,0.0729496082651515,-0.000418878049456661,-0.459485198094499,-0.528318323901515,0.00303361394626975,0.331786198047065,0.00115958237878788,-6.65834425382397e-06,-0.00172968910659157
"aliedu",36,56,80,0.00717590866844598,1.01647557031186,-0.143284518931818,-0.00102819662145695,-0.267147943689495,-0.281007871659091,0.00201648682214003,-1.3620676577322,0.0592462349393938,0.000425145570874384,0.323409965944861,0.0782835581136363,0.000561755663264437,0.0846843570303563,-0.410659396651515,-0.0029468543242104,-1.58785699412242,0.104343786265152,0.000748761480358576,0.821348403370292,-0.571744858901515,-0.00410278888913081,-0.448721805419011,0.586092890378788,0.0042057490525837,1.09255965807625
"allocc",305,176,139,-0.0157894344461509,-2.23659122838706,0.190358980068182,-0.0030056606370227,-0.780936293557636,0.178737770340909,0.00282216830784895,-1.90627785641484,-0.0897538060606062,0.00141716183708648,1.07804077678117,0.0651357581136363,-0.0010284567828356,-0.155039293919754,-0.151022085651515,0.00238455332131558,1.28487168096554,-0.0563105027348485,0.000889110991561689,0.975303768282058,0.389183345098485,-0.00614498491496623,-0.672076677554911,0.549722015378788,-0.00867979972542931,-2.25481808391767
"andine",20,1,2,-0.00204670950939608,-0.289918714402566,0.637707012068182,-0.00130520100580851,-0.339119734034064,-0.113742281659091,-0.000232797409492068,0.157246662260095,-0.308396991060606,0.000631199054272879,0.480155689325377,0.968408568113637,-0.00198205102533882,-0.298793101090935,0.405280415348485,-0.000829491280065735,-0.446955765609095,0.0180182412651515,-3.68781057399784e-05,-0.0404531670811198,1.59427913109848,-0.00326302625825098,-0.356877010564932,-0.660528509621212,0.00135190998186895,0.351196015043556
"aphdep",64,1,0,-0.00745920745920746,-1.05660516409755,-0.193061731931818,0.00144008751091333,0.374166194718943,-0.112659051659091,-0.000840347238482731,0.567625725214094,0.0587497429393939,-0.000438226520760048,-0.333360697757375,-0.0165696138863636,0.000123596187497351,0.0186320572342668,-0.151022085651515,0.00112650506779685,0.606996055461566,0.0377777902651515,-0.000281792374938193,-0.309110074848626,-0.525596069901515,0.00392053012513951,0.42878817396937,0.148220658378788,-0.0011056086405877,-0.287212428327021
"ardrev",2,3,0,-0.000233100233100233,-0.0330189113780484,-0.0249709109318181,5.82072515893197e-06,0.00151235155274774,-0.321980081659091,-7.50536320883662e-05,0.0506961532009439,0.324348255939394,-7.56056540651268e-05,-0.0575135287335882,0.00232623611363625,-5.4224618033479e-07,-8.17433132173035e-05,-0.151022085651515,3.52032833686516e-05,0.0189686267331739,-0.0579681167348485,1.35123815232747e-05,0.0148223076119741,-0.160539946901515,3.74218990446422e-05,0.0040928311339649,0.0261896293787879,-6.10480871300417e-06,-0.00158589293766903
