"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",0.538272009470271,0.108427758349607,4.96433770893524,6.8935902179428e-07
"Comp.1",-0.325095560905196,0.083860033907746,-3.87664475860851,0.000105906810575561
"Comp.2",-0.727384652197626,0.199728235417852,-3.641871919991,0.000270662735488834
