"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",3.36528609304138,1.33210250300537,2.52629665168328,0.0115272099415569
"LA",-0.860424029062423,0.229640376612045,-3.74683251158408,0.000179081570742063
"LS",1.10408141497098,0.61150416674763,1.80551740283831,0.0709937547559318
"HEIGHT",1.22344511073564,0.454891239541507,2.68953324308635,0.00715520200446393
"DENSITY",2.36118182136756,0.924267552449876,2.55465185931172,0.0106294052001403
